UNIVERSITY ID,UNIVERSITY NAME,UNIVERSITY TYPE,YEAR OF FOUND
rug,University of Groningen,public research university  ,1614
utrecht,Utrecht University,public research university  ,1636
leiden,Leiden University,public research university ,1575
hanze,Hanze University of Applied Sciences,vocational university,1986
delft,Delft University of Technology,public technical university,1842
eindhoven,The Eindhoven University of Technology,public research university ,1956
erasmus,Erasmus University Rotterdam,public research university,1913
hague,The Hague University of Applied Sciences,university of Applied Sciences,1987
maastricht,Maastricht University,public research university,1976
radboud ,Radboud University,public research university,1923
rotterdam,The Rotterdam University of Applied Sciences,vocational university,1988
tilburg ,Tilburg University,public research university ,1927
twente,The University of Twente,public technical university,1961
vrije,The Vrije Universiteit Amsterdam,public research university,1880
wageningen ,Wageningen University & Research, public research university,1876
